ID,PERIOD_START_TIME,energy_mean,INCOMING_HO_SEIZURES,CALL_REQUESTS,TCH_NORMAL_SEIZURES,TCSH_TRAFFIC,TCH_CONGESTION,TCH_BLOCKING,ULRLC,ULRLCEDGE,DLRLC,DLRLCEDGE,VOLTE_CALLMINUTES,LTE_DL_TRAFFIC,LTE_UL_TRAFFIC,LTE_CA_TRAFFIC,DL_THROUGHPUT,UL_THROUGHPUT,DL_TRAFFIC,UL_TRAFFIC,AVG_DL_MAC_DRB_CELL_TPUT,NORM_AVG_DL_MAC_CELL_TPUT,NORM_AVG_UL_MAC_CELL_TPUT,AVG_UL_MAC_UE_TPUT
2577,2021-12-16 00:00:00,3280.5,5.0,73.0,73.0,9.809999999999999,0.0,0.0,0.13,12.61,0.11,26.94,246.82,44653.37,0.0,24262.64,1935.8,147.53,417.89,2.06,178.32,137.57,8.2,47.31
2577,2021-12-16 01:00:00,3381.0,8.0,52.0,52.0,6.06,0.0,0.0,0.61,9.65,0.48,18.24,128.93,29037.57,0.0,18920.0,2124.71,164.4,262.61,1.31,167.85,105.22999999999999,9.18,10.33
2577,2021-12-16 02:00:00,3231.5,3.0,37.0,37.0,1.03,0.0,0.0,0.63,4.41,0.59,7.140000000000001,159.4,16853.26,0.0,10593.31,2648.06,214.17,263.96,1.93,195.91,149.96,6.72,11.579999999999998
2577,2021-12-16 03:00:00,3332.285714287311,0.0,6.0,6.0,0.71,0.0,0.0,0.49,4.45,0.39,6.94,28.66,25260.059999999998,0.0,15427.3,2032.47,143.0,188.83,0.1,159.72,122.49,2.56,47.86
2577,2021-12-16 04:00:00,3243.339285712689,0.0,14.0,14.0,0.11,0.0,0.0,0.62,7.4,0.6000000000000001,11.299999999999999,32.660000000000004,20258.5,0.0,12701.699999999999,2127.0299999999997,166.44,105.97,0.61,222.08,132.48,5.76,29.99
2577,2021-12-16 05:00:00,3483.25,0.0,45.0,45.0,0.49,0.0,0.0,0.41,5.8999999999999995,0.36000000000000004,4.98,8.72,19841.22,0.0,11170.18,1908.85,132.11,42.43,0.23,216.86,121.58,6.03,57.160000000000004
2577,2021-12-16 06:00:00,3539.125,0.0,86.0,86.0,1.5,0.0,0.0,0.5499999999999999,5.81,0.54,6.94,68.29,15186.779999999999,0.0,7223.22,2212.15,137.46,190.36,2.52,242.15,133.05,8.6,17.13
2577,2021-12-16 07:00:00,3429.7142857164145,1.0,168.0,168.0,4.53,0.0,0.0,0.5499999999999999,11.83,0.49,25.939999999999998,154.18,22219.36,0.0,6454.36,1969.42,115.16,94.0,1.19,264.81,138.01,11.23,39.14
2577,2021-12-16 08:00:00,3254.0,7.0,354.0,354.0,12.72,0.0,0.0,0.86,19.27,0.93,40.92,484.98,20399.95,0.0,10292.01,2157.64,111.47,153.02,1.8,206.45,134.53,10.98,19.38
2577,2021-12-16 09:00:00,3270.9107142835855,16.0,603.0,602.0,26.35,0.0,0.0,1.19,20.29,1.85,63.8,698.88,18409.3,0.0,9116.18,2221.79,126.31,130.88,1.55,311.8,136.41,10.31,17.92
2577,2021-12-16 10:00:00,3310.375,8.0,781.0,777.0,32.32,4.58,0.38,0.25,21.36,0.21000000000000002,55.760000000000005,1060.85,21200.26,0.0,11801.32,1772.3,104.12,57.08,0.65,140.94,71.14999999999999,5.78,4.54
2577,2021-12-16 11:00:00,3739.375,14.0,844.0,843.0,38.92,3.53,0.0,0.11,28.32,0.07,77.30000000000001,1157.11,24735.1,0.0,14814.08,1513.66,135.13,0.0,0.0,0.0,0.0,0.0,0.0
2577,2021-12-16 12:00:00,3679.0535714291036,16.0,853.0,851.0,38.72,2.28,0.0,0.18000000000000002,34.120000000000005,0.11,114.31,1253.44,31873.23,0.0,16967.8,1487.08,147.24,0.0,0.0,0.0,0.0,0.0,0.0
2577,2021-12-16 13:00:00,3925.5714285708964,19.0,802.0,801.0,33.56,1.51,0.0,0.2,30.28,0.11,59.82,1185.81,35624.12,0.0,21242.53,1754.88,142.67,129.16,0.9199999999999999,119.71000000000001,65.61,4.84,32.61
2577,2021-12-16 14:00:00,3925.142857141793,9.0,685.0,684.0,32.57,2.41,0.0,0.25,23.36,0.15,65.81,1156.41,28965.19,0.0,15193.57,2018.72,133.94,570.75,48.05,271.24,109.82,24.44,9.71
2577,2021-12-16 15:00:00,3867.357142858207,10.0,655.0,654.0,25.38,0.4,0.0,0.22,26.97,0.14,66.32,1073.53,37735.84,0.0,15982.98,1847.15,147.98,252.74,2.45,247.26,156.85,10.38,3.47
2577,2021-12-16 16:00:00,4103.0,8.0,604.0,603.0,24.43,0.66,0.0,0.2,24.86,0.14,72.74000000000001,781.63,44133.15,0.0,19620.13,1734.12,152.94,518.99,2.67,304.45,174.62,11.81,28.54
2577,2021-12-16 17:00:00,4303.785714287311,7.0,822.0,820.0,38.89,4.78,0.38,0.19,36.65,0.13,92.66999999999999,1168.43,40482.96,0.0,24301.15,1782.53,141.35,478.37,17.98,301.22,184.23,12.5,12.129999999999999
2577,2021-12-16 18:00:00,4278.428571429104,9.0,792.0,782.0,38.51,5.75,1.41,0.3,21.27,0.27,36.35,1375.34,42154.2,0.0,22331.91,1521.67,131.06,795.5,10.530000000000001,269.39,181.9,13.08,14.63
2577,2021-12-16 19:00:00,4163.0,9.0,827.0,804.0,28.97,25.58,8.4,0.26,21.07,0.19,41.3,1469.82,53010.0,0.0,36123.97,1509.56,121.59,485.85,4.51,288.86,191.9,14.09,3.1100000000000003
2577,2021-12-16 20:00:00,4158.160714283586,11.0,688.0,680.0,24.67,15.14,3.2,0.28,16.34,0.36000000000000004,22.54,1386.18,51722.62,0.0,26297.45,1469.03,129.85,1453.1399999999999,23.83,225.46,187.99,10.74,1.19
2577,2021-12-16 21:00:00,4086.25,12.0,491.0,488.0,35.09,3.99,0.0,0.22,17.45,0.17,43.04,1039.28,52172.13,0.0,28213.83,1553.21,127.09,1921.4,16.89,276.9,234.82,11.97,12.01
2577,2021-12-16 22:00:00,3537.875,12.0,275.0,274.0,20.85,0.0,0.0,0.7999999999999999,18.39,1.1500000000000001,28.26,796.1899999999999,57393.840000000004,0.0,29064.09,1530.2,110.3,389.40999999999997,4.14,219.55,148.76,11.61,9.68
2577,2021-12-16 23:00:00,3460.142857141793,10.0,178.0,178.0,15.26,0.0,0.0,0.7999999999999999,21.15,2.6,98.0,440.43,51875.63,0.0,27927.15,1647.86,136.82,504.74,7.39,287.3,198.43,14.01,3.01
2577,2021-12-17 00:00:00,3214.142857145518,3.0,98.0,98.0,9.17,1.44,0.0,1.6400000000000001,21.08,9.73,69.0,235.63,32250.42,0.0,18491.61,1521.31,122.65,529.89,0.58,241.42000000000002,158.88,4.83,19.86
2577,2021-12-17 01:00:00,3067.464285712689,6.0,36.0,36.0,1.32,0.0,0.0,0.6600000000000001,31.41,1.96,100.16,108.77,29783.18,2224.93,20114.329999999998,2035.85,124.2,1346.9,1.87,233.32999999999998,219.14,4.08,25.49
